spine	classification	golden_pages	golden_fragments	golden_first	golden_last	golden_sha	historical_pages	historical_fragments	historical_first	historical_last	historical_sha	current_pages	current_fragments	current_first	current_last	current_sha
422	HISTORICAL_AND_CURRENT_SOURCE	12	483	16.00,247.92,107.10,30.60|270.91|4eba39a7	34.00,667.65,298.53,17.68|681.94|f768a9b3	1ed36b18dadf12eb	12	483	16.00,247.92,107.10,30.60|270.91|4eba39a7	34.00,667.65,298.53,17.68|681.94|f768a9b3	f49a7403193c001c	14	490	16.00,247.92,107.10,30.60|270.91|4eba39a7	34.00,154.80,298.53,23.80|172.15|f768a9b3	2f0798d81632e405
423	HISTORICAL_AND_CURRENT_SOURCE	2	75	16.00,247.92,76.50,30.60|270.91|bd2cd5cf	78.70,727.27,120.88,17.68|741.56|d153c59f	39b66ccccf163b1c	2	75	16.00,247.92,76.50,30.60|270.91|bd2cd5cf	78.70,727.27,120.88,17.68|741.56|d153c59f	aef7ead189885f51	3	76	16.00,247.92,76.50,30.60|270.91|bd2cd5cf	78.70,59.60,120.88,23.80|76.95|d153c59f	bd9ba4427c615bbc
424	UNCHANGED	1	8	99.84,158.40,17.00,20.40|174.53|af50a0fe	32.30,265.13,25.50,28.49|288.14|c7cce240	4ccff782950bf14b	1	8	99.84,158.40,17.00,20.40|174.53|af50a0fe	32.30,265.13,25.50,28.49|288.14|c7cce240	4ccff782950bf14b	1	8	99.84,158.40,17.00,20.40|174.53|af50a0fe	32.30,265.13,25.50,28.49|288.14|c7cce240	4ccff782950bf14b
425	UNCHANGED	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f
426	CURRENT_SOURCE_ONLY	1	10	152.81,29.85,17.69,23.21|47.80|6379ede5	175.44,639.13,39.12,19.12|654.14|260fbd8e	ee3b795b6a50f494	1	10	152.81,29.85,17.69,23.21|47.80|6379ede5	175.44,639.13,39.12,19.12|654.14|260fbd8e	ee3b795b6a50f494	1	10	151.82,29.85,18.19,24.99|48.77|6379ede5	176.68,640.92,36.65,21.42|657.14|260fbd8e	7d131519d8b0c5ea
427	HISTORICAL_AND_CURRENT_SOURCE	5	144	16.00,247.92,153.00,30.60|270.91|5ededf31	34.00,188.84,161.02,17.68|203.14|e0c5afce	bd9dee41246eb275	5	144	16.00,247.92,153.00,30.60|270.91|5ededf31	34.00,188.84,161.02,17.68|203.14|e0c5afce	8ab7e0768c90288e	5	145	16.00,247.92,153.00,30.60|270.91|5ededf31	34.00,345.20,161.02,23.80|362.55|e0c5afce	c3a77358c98e72e1
428	HISTORICAL_AND_CURRENT_SOURCE	16	608	16.00,247.92,107.10,30.60|270.91|6fd16ee0	34.00,278.60,206.01,18.35|293.40|45427957	304c8de8e2b7cbdf	16	607	16.00,247.92,107.10,30.60|270.91|6fd16ee0	34.00,225.54,206.01,18.35|240.35|45427957	6415883b30cf2c52	17	624	16.00,247.92,107.10,30.60|270.91|6fd16ee0	34.00,676.60,206.01,23.80|694.13|45427957	7814a999d53eb320
429	HISTORICAL_AND_CURRENT_SOURCE	5	173	16.00,247.92,153.00,30.60|270.91|bd2f0d41	34.00,604.21,24.14,17.68|618.50|3e01ad38	1fd3522e060513ff	5	173	16.00,247.92,153.00,30.60|270.91|bd2f0d41	34.00,604.21,24.14,17.68|618.50|3e01ad38	ebc8a6cd1fc7fadc	6	180	16.00,247.92,153.00,30.60|270.91|bd2f0d41	34.00,250.00,24.14,23.80|267.35|3e01ad38	5fbb035cc4a9916a
430	HISTORICAL_AND_CURRENT_SOURCE	9	318	16.00,247.92,198.90,30.60|270.91|8f38a872	34.00,334.61,96.74,17.68|348.90|9709b93d	6ee08fbe30bf2237	9	318	16.00,247.92,198.90,30.60|270.91|8f38a872	34.00,334.61,96.74,17.68|348.90|9709b93d	a3af2e9a305054f1	10	324	16.00,247.92,198.90,30.60|270.91|8f38a872	34.00,250.00,96.74,23.80|267.35|9709b93d	a0b8a56d3f9180ae
431	HISTORICAL_AND_CURRENT_SOURCE	21	785	16.00,247.92,137.70,30.60|270.91|ad1a8c37	243.70,418.74,64.44,17.68|433.03|cc37f4fe	40f0482e48d4322c	21	784	16.00,247.92,137.70,30.60|270.91|ad1a8c37	243.70,418.74,64.44,17.68|433.03|cc37f4fe	fad0ac00e4eb95cb	23	811	16.00,247.92,137.70,30.60|270.91|ad1a8c37	243.70,678.40,64.44,23.80|695.75|cc37f4fe	398bad89137a160c
