utc,monotonic_s,scenario,pid,kind,cpu_ps_percent,cpu_total_s,rss_mib
2026-09-07T17:15:23.274198+00:00,347695.517,snapshot-settled-after-default-off-continuous,82886,webcontent,0.0,4.160,278.594
2026-09-07T17:15:23.274204+00:00,347695.517,snapshot-settled-after-default-off-continuous,82887,webcontent,0.0,4.200,278.438
2026-09-07T17:15:23.274209+00:00,347695.517,snapshot-settled-after-default-off-continuous,82889,webcontent,0.0,4.280,278.594
2026-09-07T17:15:23.274212+00:00,347695.517,snapshot-settled-after-default-off-continuous,82890,webcontent,0.0,4.260,278.547
2026-09-07T17:15:23.274215+00:00,347695.517,snapshot-settled-after-default-off-continuous,82892,webkit_network,0.0,0.390,119.422
2026-09-07T17:15:24.282710+00:00,347696.527,snapshot-settled-after-default-off-continuous,82878,reader,5.3,12.390,635.797
2026-09-07T17:15:24.282754+00:00,347696.527,snapshot-settled-after-default-off-continuous,82886,webcontent,0.0,4.160,278.594
2026-09-07T17:15:24.282760+00:00,347696.527,snapshot-settled-after-default-off-continuous,82887,webcontent,0.0,4.200,278.438
2026-09-07T17:15:24.282765+00:00,347696.527,snapshot-settled-after-default-off-continuous,82889,webcontent,0.0,4.280,278.594
2026-09-07T17:15:24.282768+00:00,347696.527,snapshot-settled-after-default-off-continuous,82890,webcontent,0.0,4.260,278.547
2026-09-07T17:15:24.282772+00:00,347696.527,snapshot-settled-after-default-off-continuous,82892,webkit_network,0.0,0.390,119.422
2026-09-07T17:15:25.297249+00:00,347697.538,snapshot-settled-after-default-off-continuous,82878,reader,19.1,12.480,650.469
2026-09-07T17:15:25.297399+00:00,347697.538,snapshot-settled-after-default-off-continuous,82886,webcontent,0.0,4.160,278.594
2026-09-07T17:15:25.297405+00:00,347697.538,snapshot-settled-after-default-off-continuous,82887,webcontent,0.0,4.200,278.438
2026-09-07T17:15:25.297409+00:00,347697.538,snapshot-settled-after-default-off-continuous,82889,webcontent,0.0,4.280,278.594
2026-09-07T17:15:25.297412+00:00,347697.538,snapshot-settled-after-default-off-continuous,82890,webcontent,0.0,4.260,278.547
2026-09-07T17:15:25.297416+00:00,347697.538,snapshot-settled-after-default-off-continuous,82892,webkit_network,0.0,0.390,119.422
2026-09-07T17:15:26.302554+00:00,347698.548,snapshot-settled-after-default-off-continuous,82878,reader,2.0,12.530,635.938
2026-09-07T17:15:26.302599+00:00,347698.548,snapshot-settled-after-default-off-continuous,82886,webcontent,0.0,4.160,278.594
2026-09-07T17:15:26.302606+00:00,347698.548,snapshot-settled-after-default-off-continuous,82887,webcontent,0.0,4.200,278.438
2026-09-07T17:15:26.302610+00:00,347698.548,snapshot-settled-after-default-off-continuous,82889,webcontent,0.0,4.280,278.594
2026-09-07T17:15:26.302613+00:00,347698.548,snapshot-settled-after-default-off-continuous,82890,webcontent,0.0,4.260,278.547
2026-09-07T17:15:26.302617+00:00,347698.548,snapshot-settled-after-default-off-continuous,82892,webkit_network,0.0,0.390,119.422
2026-09-07T17:15:27.307880+00:00,347699.555,snapshot-settled-after-default-off-continuous,82878,reader,20.0,12.710,637.906
2026-09-07T17:15:27.307941+00:00,347699.555,snapshot-settled-after-default-off-continuous,82886,webcontent,0.0,4.160,278.594
2026-09-07T17:15:27.307946+00:00,347699.555,snapshot-settled-after-default-off-continuous,82887,webcontent,0.0,4.200,278.438
2026-09-07T17:15:27.307950+00:00,347699.555,snapshot-settled-after-default-off-continuous,82889,webcontent,0.0,4.280,278.594
2026-09-07T17:15:27.307954+00:00,347699.555,snapshot-settled-after-default-off-continuous,82890,webcontent,0.0,4.260,278.547
2026-09-07T17:15:27.307957+00:00,347699.555,snapshot-settled-after-default-off-continuous,82892,webkit_network,0.0,0.390,119.422
2026-09-07T17:15:28.312355+00:00,347700.565,snapshot-settled-after-default-off-continuous,82878,reader,20.0,12.810,652.625
2026-09-07T17:15:28.312414+00:00,347700.565,snapshot-settled-after-default-off-continuous,82886,webcontent,0.0,4.160,278.594
2026-09-07T17:15:28.312420+00:00,347700.565,snapshot-settled-after-default-off-continuous,82887,webcontent,0.0,4.200,278.438
2026-09-07T17:15:28.312426+00:00,347700.565,snapshot-settled-after-default-off-continuous,82889,webcontent,0.0,4.280,278.594
